B_IND,VALID[0],DIRTY[0],TAG[0],LRU[0],VALID[1],DIRTY[1],TAG[1],LRU[1],VALID[2],DIRTY[2],TAG[2],LRU[2],VALID[3],DIRTY[3],TAG[3],LRU[3]
B[0],1,0,00000000000000000000000000010100,756,1,0,00000000000000000000000000011000,907,1,0,00000000000000000000000000011100,1058,1,0,00000000000000000000000000100000,1209
B[1],1,0,00000000000000000000000000010100,1964,1,0,00000000000000000000000000001000,1511,1,0,00000000000000000000000000001100,1662,1,0,00000000000000000000000000010000,1813
B[2],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[3],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
