B_IND,VALID[0],DIRTY[0],TAG[0],LRU[0],VALID[1],DIRTY[1],TAG[1],LRU[1],VALID[2],DIRTY[2],TAG[2],LRU[2],VALID[3],DIRTY[3],TAG[3],LRU[3]
B[0],1,0,00000000000000000000000000010101,3171,1,0,00000000000000000000000000011001,3322,1,0,00000000000000000000000000011101,3473,1,0,00000000000000000000000000100001,3624
B[1],1,0,00000000000000000000000000011101,11001,1,0,00000000000000000000000000011001,10007,1,1,00000000000000000000000000011100,10151,1,1,00000000000000000000000000100001,10006
B[2],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
B[3],0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0,0,0,00000000000000000000000000000000,0
